Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
4901428.0;0.0;2760925;deviant;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_010;560894;other;560872;2010-10-04 22:00:00;1320;10;0;22;0.0;0.0;1;1
4901428.0;1354.2542;2771451;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;6;2010-10-05 22:00:00;1320;10;1;22;0.0;0.0;1;3
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560925;EMPTY;560925;2010-10-05 22:00:00;1320;10;1;22;0.0;0.0;1;3
4901428.0;2302.0476;2783345;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;2670601;2010-10-06 22:00:00;1320;10;2;22;0.0;0.0;1;4
4901428.0;0.0;2760925;deviant;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_015;560894;EMPTY;560872;2010-10-07 12:57:14;777;10;3;12;3777.233333333333;3777.233333333333;2;3
4901428.0;2302.0476;2783345;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560925;EMPTY;2670601;2010-10-10 22:00:00;1320;10;6;22;0.0;5760.0;3;3
4901428.0;2302.0476;2783345;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560925;EMPTY;2670601;2010-10-10 22:00:00;1320;10;6;22;0.0;5760.0;2;3
4901428.0;2302.0476;2783345;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;560925;EMPTY;2670601;2010-10-10 22:00:00;1320;10;6;22;5760.0;5760.0;4;3
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560872;EMPTY;560872;2010-10-11 22:00:00;1320;10;0;22;0.0;0.0;1;5
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560872;EMPTY;560872;2010-10-11 22:00:00;1320;10;0;22;0.0;0.0;2;5
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560872;EMPTY;560872;2010-10-11 22:00:00;1320;10;0;22;0.0;0.0;1;5
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;4901428;EMPTY;560925;2010-10-12 07:54:56;474;10;1;7;9234.933333333332;9234.933333333332;2;5
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560925;True;560925;2010-10-12 07:56:10;476;10;1;7;1.2333333333333334;9236.166666666666;3;5
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560925;False;560925;2010-10-12 07:56:15;476;10;1;7;0.0833333333333333;9236.25;4;5
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560925;True;560925;2010-10-12 07:56:28;476;10;1;7;0.2166666666666666;9236.466666666667;5;5
560894.0;0.0;2799076;deviant;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;01_HOOFD_010;560872;EMPTY;560912;2010-10-12 22:00:00;1320;10;1;22;0.0;0.0;1;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560872;EMPTY;560872;2010-10-14 11:42:23;702;10;3;11;3702.383333333333;3702.383333333333;2;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560872;True;560872;2010-10-14 11:43:34;703;10;3;11;1.1833333333333331;3703.5666666666666;3;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560872;False;560872;2010-10-14 11:43:39;703;10;3;11;0.0833333333333333;3703.65;4;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560872;True;560872;2010-10-14 11:43:49;703;10;3;11;0.1666666666666666;3703.8166666666666;5;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560872;EMPTY;560872;2010-10-14 22:00:00;1320;10;3;22;616.1833333333333;4320.0;6;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560872;EMPTY;560872;2010-10-14 22:00:00;1320;10;3;22;0.0;4320.0;3;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_190_2;560872;EMPTY;560872;2010-10-14 22:00:00;1320;10;3;22;4320.0;4320.0;4;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_015;560872;EMPTY;560872;2010-10-15 08:21:40;501;10;4;8;621.6666666666666;4941.666666666667;5;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_020;560872;False;560872;2010-10-15 08:21:48;501;10;4;8;0.1333333333333333;4941.8;6;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_1;560872;EMPTY;560872;2010-10-15 08:22:07;502;10;4;8;0.3166666666666666;4942.116666666667;7;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_040;560872;False;560872;2010-10-15 08:23:54;503;10;4;8;1.7833333333333334;4943.9;8;6
