dataset;level;method;cls;nr_events;metric;score
bpic2011_f2;50;all_embeddings;LSTM;1;-1;auc;0.7896275909520943
bpic2011_f2;50;all_embeddings;LSTM;2;-1;auc;0.8169696969696969
bpic2011_f2;50;all_embeddings;LSTM;3;-1;auc;0.8096159159988947
bpic2011_f2;50;all_embeddings;LSTM;4;-1;auc;0.8099694423223835
bpic2011_f2;50;all_embeddings;LSTM;5;-1;auc;0.8107892107892108
bpic2011_f2;50;all_embeddings;LSTM;6;-1;auc;0.8127969591384225
bpic2011_f2;50;all_embeddings;LSTM;7;-1;auc;0.8168092070531094
bpic2011_f2;50;all_embeddings;LSTM;8;-1;auc;0.8434045293549426
bpic2011_f2;50;all_embeddings;LSTM;9;-1;auc;0.8505956853064292
bpic2011_f2;50;all_embeddings;LSTM;10;-1;auc;0.8546742513684663
bpic2011_f2;50;all_embeddings;LSTM;11;-1;auc;0.8609949372661237
bpic2011_f2;50;all_embeddings;LSTM;12;-1;auc;0.8589038080563504
bpic2011_f2;50;all_embeddings;LSTM;13;-1;auc;0.8533688533688535
bpic2011_f2;50;all_embeddings;LSTM;14;-1;auc;0.8636569872958257
bpic2011_f2;50;all_embeddings;LSTM;15;-1;auc;0.8630898366606171
bpic2011_f2;50;all_embeddings;LSTM;16;-1;auc;0.868421052631579
bpic2011_f2;50;all_embeddings;LSTM;17;-1;auc;0.8637704174228674
bpic2011_f2;50;all_embeddings;LSTM;18;-1;auc;0.8578720508166969
bpic2011_f2;50;all_embeddings;LSTM;19;-1;auc;0.8589244851258582
bpic2011_f2;50;all_embeddings;LSTM;20;-1;auc;0.8593821510297482
bpic2011_f2;50;all_embeddings;LSTM;21;-1;auc;0.860183066361556
bpic2011_f2;50;all_embeddings;LSTM;22;-1;auc;0.8591874422899354
bpic2011_f2;50;all_embeddings;LSTM;23;-1;auc;0.8575715604801478
bpic2011_f2;50;all_embeddings;LSTM;24;-1;auc;0.8607017543859649
bpic2011_f2;50;all_embeddings;LSTM;25;-1;auc;0.8631578947368421
bpic2011_f2;50;all_embeddings;LSTM;26;-1;auc;0.8637426900584796
bpic2011_f2;50;all_embeddings;LSTM;27;-1;auc;0.862708947885939
bpic2011_f2;50;all_embeddings;LSTM;28;-1;auc;0.8618551587301587
bpic2011_f2;50;all_embeddings;LSTM;29;-1;auc;0.8608585858585859
bpic2011_f2;50;all_embeddings;LSTM;30;-1;auc;0.8597222222222223
bpic2011_f2;50;all_embeddings;LSTM;31;-1;auc;0.862518282143332
bpic2011_f2;50;all_embeddings;LSTM;32;-1;auc;0.8613617719442166
bpic2011_f2;50;all_embeddings;LSTM;33;-1;auc;0.8584905660377358
bpic2011_f2;50;all_embeddings;LSTM;34;-1;auc;0.8577289377289378
bpic2011_f2;50;all_embeddings;LSTM;35;-1;auc;0.8618291761148904
bpic2011_f2;50;all_embeddings;LSTM;36;-1;auc;0.8584403382398997
bpic2011_f2;50;all_embeddings;LSTM;37;-1;auc;0.8605729425401556
bpic2011_f2;50;all_embeddings;LSTM;38;-1;auc;0.862328537972566
bpic2011_f2;50;all_embeddings;LSTM;39;-1;auc;0.8615095628415301
bpic2011_f2;50;all_embeddings;LSTM;40;-1;auc;0.8625341530054644
bpic2011_f2;50;all_embeddings;LSTM;-1;auc;0.8202360618283078
