dataset;level;method;cls;nr_events;metric;score
bpic2015_4_f2;25;all_embeddings;LSTM;1;-1;auc;0.7392739273927392
bpic2015_4_f2;25;all_embeddings;LSTM;2;-1;auc;0.7595473833097596
bpic2015_4_f2;25;all_embeddings;LSTM;3;-1;auc;0.7701555869872702
bpic2015_4_f2;25;all_embeddings;LSTM;4;-1;auc;0.7758132956152759
bpic2015_4_f2;25;all_embeddings;LSTM;5;-1;auc;0.7828854314002829
bpic2015_4_f2;25;all_embeddings;LSTM;6;-1;auc;0.7821782178217822
bpic2015_4_f2;25;all_embeddings;LSTM;7;-1;auc;0.7793493635077793
bpic2015_4_f2;25;all_embeddings;LSTM;8;-1;auc;0.7708628005657708
bpic2015_4_f2;25;all_embeddings;LSTM;9;-1;auc;0.7687411598302687
bpic2015_4_f2;25;all_embeddings;LSTM;10;-1;auc;0.765
bpic2015_4_f2;25;all_embeddings;LSTM;11;-1;auc;0.7728571428571428
bpic2015_4_f2;25;all_embeddings;LSTM;12;-1;auc;0.7728571428571429
bpic2015_4_f2;25;all_embeddings;LSTM;13;-1;auc;0.7728571428571429
bpic2015_4_f2;25;all_embeddings;LSTM;14;-1;auc;0.7691729323308271
bpic2015_4_f2;25;all_embeddings;LSTM;15;-1;auc;0.7751879699248121
bpic2015_4_f2;25;all_embeddings;LSTM;16;-1;auc;0.7917933130699089
bpic2015_4_f2;25;all_embeddings;LSTM;17;-1;auc;0.8031914893617021
bpic2015_4_f2;25;all_embeddings;LSTM;18;-1;auc;0.8059006211180124
bpic2015_4_f2;25;all_embeddings;LSTM;19;-1;auc;0.812111801242236
bpic2015_4_f2;25;all_embeddings;LSTM;20;-1;auc;0.8274478330658106
bpic2015_4_f2;25;all_embeddings;LSTM;21;-1;auc;0.838655462184874
bpic2015_4_f2;25;all_embeddings;LSTM;22;-1;auc;0.851118760757315
bpic2015_4_f2;25;all_embeddings;LSTM;23;-1;auc;0.8544973544973545
bpic2015_4_f2;25;all_embeddings;LSTM;24;-1;auc;0.8562386980108498
bpic2015_4_f2;25;all_embeddings;LSTM;25;-1;auc;0.8553113553113553
bpic2015_4_f2;25;all_embeddings;LSTM;26;-1;auc;0.8628571428571428
bpic2015_4_f2;25;all_embeddings;LSTM;27;-1;auc;0.8638095238095238
bpic2015_4_f2;25;all_embeddings;LSTM;28;-1;auc;0.8574358974358974
bpic2015_4_f2;25;all_embeddings;LSTM;29;-1;auc;0.8824200913242009
bpic2015_4_f2;25;all_embeddings;LSTM;30;-1;auc;0.8819444444444445
bpic2015_4_f2;25;all_embeddings;LSTM;31;-1;auc;0.881455399061033
bpic2015_4_f2;25;all_embeddings;LSTM;32;-1;auc;0.881455399061033
bpic2015_4_f2;25;all_embeddings;LSTM;33;-1;auc;0.8814553990610329
bpic2015_4_f2;25;all_embeddings;LSTM;34;-1;auc;0.8783610755441742
bpic2015_4_f2;25;all_embeddings;LSTM;35;-1;auc;0.8783610755441742
bpic2015_4_f2;25;all_embeddings;LSTM;36;-1;auc;0.8783610755441742
bpic2015_4_f2;25;all_embeddings;LSTM;37;-1;auc;0.8796414852752882
bpic2015_4_f2;25;all_embeddings;LSTM;38;-1;auc;0.8704225352112677
bpic2015_4_f2;25;all_embeddings;LSTM;39;-1;auc;0.8685714285714287
bpic2015_4_f2;25;all_embeddings;LSTM;40;-1;auc;0.8714285714285714
bpic2015_4_f2;25;all_embeddings;LSTM;-1;auc;0.8216543456852277
