dataset;method;cls;nr_events;metric;score
bpic2011_f2;all_agg;XGB;1;-1;auc;0.7428399415154383
bpic2011_f2;all_agg;XGB;2;-1;auc;0.7390476190476192
bpic2011_f2;all_agg;XGB;3;-1;auc;0.7351938841300544
bpic2011_f2;all_agg;XGB;4;-1;auc;0.7282276546982429
bpic2011_f2;all_agg;XGB;5;-1;auc;0.7210789210789211
bpic2011_f2;all_agg;XGB;6;-1;auc;0.7086896842994405
bpic2011_f2;all_agg;XGB;7;-1;auc;0.7159750818287404
bpic2011_f2;all_agg;XGB;8;-1;auc;0.8392186326070624
bpic2011_f2;all_agg;XGB;9;-1;auc;0.8980358484490716
bpic2011_f2;all_agg;XGB;10;-1;auc;0.9335623054631319
bpic2011_f2;all_agg;XGB;11;-1;auc;0.9352850539291218
bpic2011_f2;all_agg;XGB;12;-1;auc;0.9368258859784284
bpic2011_f2;all_agg;XGB;13;-1;auc;0.9517149517149518
bpic2011_f2;all_agg;XGB;14;-1;auc;0.9578039927404719
bpic2011_f2;all_agg;XGB;15;-1;auc;0.9564428312159708
bpic2011_f2;all_agg;XGB;16;-1;auc;0.9558756805807623
bpic2011_f2;all_agg;XGB;17;-1;auc;0.955989110707804
bpic2011_f2;all_agg;XGB;18;-1;auc;0.9580308529945554
bpic2011_f2;all_agg;XGB;19;-1;auc;0.9582379862700229
bpic2011_f2;all_agg;XGB;20;-1;auc;0.9575514874141876
bpic2011_f2;all_agg;XGB;21;-1;auc;0.9576659038901602
bpic2011_f2;all_agg;XGB;22;-1;auc;0.95764081255771
bpic2011_f2;all_agg;XGB;23;-1;auc;0.9577562326869806
bpic2011_f2;all_agg;XGB;24;-1;auc;0.9611695906432749
bpic2011_f2;all_agg;XGB;25;-1;auc;0.9611695906432749
bpic2011_f2;all_agg;XGB;26;-1;auc;0.9601169590643276
bpic2011_f2;all_agg;XGB;27;-1;auc;0.9630039331366764
bpic2011_f2;all_agg;XGB;28;-1;auc;0.9716021825396826
bpic2011_f2;all_agg;XGB;29;-1;auc;0.9713383838383838
bpic2011_f2;all_agg;XGB;30;-1;auc;0.9714646464646465
bpic2011_f2;all_agg;XGB;31;-1;auc;0.9787262332136685
bpic2011_f2;all_agg;XGB;32;-1;auc;0.9872846595570139
bpic2011_f2;all_agg;XGB;33;-1;auc;0.9865637507146942
bpic2011_f2;all_agg;XGB;34;-1;auc;0.9856410256410256
bpic2011_f2;all_agg;XGB;35;-1;auc;0.9850340136054423
bpic2011_f2;all_agg;XGB;36;-1;auc;0.9844973379267147
bpic2011_f2;all_agg;XGB;37;-1;auc;0.9841033283656234
bpic2011_f2;all_agg;XGB;38;-1;auc;0.984610237537638
bpic2011_f2;all_agg;XGB;39;-1;auc;0.9849726775956285
bpic2011_f2;all_agg;XGB;40;-1;auc;0.9849726775956285
bpic2011_f2;all_agg;XGB;-1;auc;0.9220080858058411
