dataset;method;cls;nr_events;metric;score
bpic2015_3_f2;all_agg;XGB;1;-1;auc;0.5746268656716418
bpic2015_3_f2;all_agg;XGB;2;-1;auc;0.5951773794344859
bpic2015_3_f2;all_agg;XGB;3;-1;auc;0.5877521938048451
bpic2015_3_f2;all_agg;XGB;4;-1;auc;0.5885022125553139
bpic2015_3_f2;all_agg;XGB;5;-1;auc;0.6022156235724074
bpic2015_3_f2;all_agg;XGB;6;-1;auc;0.6083180287725742
bpic2015_3_f2;all_agg;XGB;7;-1;auc;0.71227503461006
bpic2015_3_f2;all_agg;XGB;8;-1;auc;0.7341103341103341
bpic2015_3_f2;all_agg;XGB;9;-1;auc;0.7471639471639472
bpic2015_3_f2;all_agg;XGB;10;-1;auc;0.7447672602311777
bpic2015_3_f2;all_agg;XGB;11;-1;auc;0.7559098841821356
bpic2015_3_f2;all_agg;XGB;12;-1;auc;0.8277804220212597
bpic2015_3_f2;all_agg;XGB;13;-1;auc;0.8498334126606378
bpic2015_3_f2;all_agg;XGB;14;-1;auc;0.9716108452950558
bpic2015_3_f2;all_agg;XGB;15;-1;auc;0.9894179894179894
bpic2015_3_f2;all_agg;XGB;16;-1;auc;0.990299823633157
bpic2015_3_f2;all_agg;XGB;17;-1;auc;0.9927849927849928
bpic2015_3_f2;all_agg;XGB;18;-1;auc;0.9922238255571588
bpic2015_3_f2;all_agg;XGB;19;-1;auc;0.9977553310886644
bpic2015_3_f2;all_agg;XGB;20;-1;auc;0.9987173320506653
bpic2015_3_f2;all_agg;XGB;21;-1;auc;0.9995164410058027
bpic2015_3_f2;all_agg;XGB;22;-1;auc;0.9993552546744036
bpic2015_3_f2;all_agg;XGB;23;-1;auc;0.9993518068384379
bpic2015_3_f2;all_agg;XGB;24;-1;auc;0.9976248976248976
bpic2015_3_f2;all_agg;XGB;25;-1;auc;0.997742474916388
bpic2015_3_f2;all_agg;XGB;26;-1;auc;0.9989966555183947
bpic2015_3_f2;all_agg;XGB;27;-1;auc;0.9989071038251366
bpic2015_3_f2;all_agg;XGB;28;-1;auc;0.9988900273224044
bpic2015_3_f2;all_agg;XGB;29;-1;auc;0.9999132622083442
bpic2015_3_f2;all_agg;XGB;30;-1;auc;1.0
bpic2015_3_f2;all_agg;XGB;31;-1;auc;0.9999123037797071
bpic2015_3_f2;all_agg;XGB;32;-1;auc;0.9998236331569665
bpic2015_3_f2;all_agg;XGB;33;-1;auc;0.9999074074074074
bpic2015_3_f2;all_agg;XGB;34;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;XGB;35;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;XGB;36;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;XGB;37;-1;auc;0.9998050682261209
bpic2015_3_f2;all_agg;XGB;38;-1;auc;0.999898580121704
bpic2015_3_f2;all_agg;XGB;39;-1;auc;1.0
bpic2015_3_f2;all_agg;XGB;40;-1;auc;0.9998948696383516
bpic2015_3_f2;all_agg;XGB;-1;auc;0.9558690729883961
