dataset;level;method;cls;nr_events;metric;score
bpic2011_f4;00;all_embeddings;LSTM;1;-1;auc;0.8954813677148169
bpic2011_f4;00;all_embeddings;LSTM;2;-1;auc;0.9048200618791729
bpic2011_f4;00;all_embeddings;LSTM;3;-1;auc;0.9018378190053131
bpic2011_f4;00;all_embeddings;LSTM;4;-1;auc;0.8996013048205871
bpic2011_f4;00;all_embeddings;LSTM;5;-1;auc;0.8945915063797372
bpic2011_f4;00;all_embeddings;LSTM;6;-1;auc;0.888045348719506
bpic2011_f4;00;all_embeddings;LSTM;7;-1;auc;0.8880453487195059
bpic2011_f4;00;all_embeddings;LSTM;8;-1;auc;0.8852695598391919
bpic2011_f4;00;all_embeddings;LSTM;9;-1;auc;0.8861972992475002
bpic2011_f4;00;all_embeddings;LSTM;10;-1;auc;0.8851664776827132
bpic2011_f4;00;all_embeddings;LSTM;11;-1;auc;0.8815984736061055
bpic2011_f4;00;all_embeddings;LSTM;12;-1;auc;0.8808564765740936
bpic2011_f4;00;all_embeddings;LSTM;13;-1;auc;0.8807918673087213
bpic2011_f4;00;all_embeddings;LSTM;14;-1;auc;0.8794589287662266
bpic2011_f4;00;all_embeddings;LSTM;15;-1;auc;0.8786953201701756
bpic2011_f4;00;all_embeddings;LSTM;16;-1;auc;0.8786953201701756
bpic2011_f4;00;all_embeddings;LSTM;17;-1;auc;0.8771681029780736
bpic2011_f4;00;all_embeddings;LSTM;18;-1;auc;0.8778684907325683
bpic2011_f4;00;all_embeddings;LSTM;19;-1;auc;0.8771167557932263
bpic2011_f4;00;all_embeddings;LSTM;20;-1;auc;0.8772281639928698
bpic2011_f4;00;all_embeddings;LSTM;21;-1;auc;0.8751114081996435
bpic2011_f4;00;all_embeddings;LSTM;22;-1;auc;0.8733123312331234
bpic2011_f4;00;all_embeddings;LSTM;23;-1;auc;0.8777002700270027
bpic2011_f4;00;all_embeddings;LSTM;24;-1;auc;0.8795454545454545
bpic2011_f4;00;all_embeddings;LSTM;25;-1;auc;0.8795454545454546
bpic2011_f4;00;all_embeddings;LSTM;26;-1;auc;0.8772727272727273
bpic2011_f4;00;all_embeddings;LSTM;27;-1;auc;0.8793797348484849
bpic2011_f4;00;all_embeddings;LSTM;28;-1;auc;0.8828947368421053
bpic2011_f4;00;all_embeddings;LSTM;29;-1;auc;0.8823384006921271
bpic2011_f4;00;all_embeddings;LSTM;30;-1;auc;0.8822148065752071
bpic2011_f4;00;all_embeddings;LSTM;31;-1;auc;0.8907760648027174
bpic2011_f4;00;all_embeddings;LSTM;32;-1;auc;0.8981882098431584
bpic2011_f4;00;all_embeddings;LSTM;33;-1;auc;0.8932474082376015
bpic2011_f4;00;all_embeddings;LSTM;34;-1;auc;0.9018155410312273
bpic2011_f4;00;all_embeddings;LSTM;35;-1;auc;0.9072483423749247
bpic2011_f4;00;all_embeddings;LSTM;36;-1;auc;0.9075814536340852
bpic2011_f4;00;all_embeddings;LSTM;37;-1;auc;0.9065806878306879
bpic2011_f4;00;all_embeddings;LSTM;38;-1;auc;0.9072769953051643
bpic2011_f4;00;all_embeddings;LSTM;39;-1;auc;0.9033816425120773
bpic2011_f4;00;all_embeddings;LSTM;40;-1;auc;0.9023464458247067
bpic2011_f4;00;all_embeddings;LSTM;-1;auc;0.8737456761090144
