dataset;level;method;cls;nr_events;metric;score
bpic2015_3_f2;75;all_embeddings;LSTM;1;-1;auc;0.6101402535063376
bpic2015_3_f2;75;all_embeddings;LSTM;2;-1;auc;0.5554638865971648
bpic2015_3_f2;75;all_embeddings;LSTM;3;-1;auc;0.5623640591014776
bpic2015_3_f2;75;all_embeddings;LSTM;4;-1;auc;0.5700142503562589
bpic2015_3_f2;75;all_embeddings;LSTM;5;-1;auc;0.5842089234049033
bpic2015_3_f2;75;all_embeddings;LSTM;6;-1;auc;0.5655035200489746
bpic2015_3_f2;75;all_embeddings;LSTM;7;-1;auc;0.5796031379787725
bpic2015_3_f2;75;all_embeddings;LSTM;8;-1;auc;0.5832167832167833
bpic2015_3_f2;75;all_embeddings;LSTM;9;-1;auc;0.5731157731157731
bpic2015_3_f2;75;all_embeddings;LSTM;10;-1;auc;0.5640424867228991
bpic2015_3_f2;75;all_embeddings;LSTM;11;-1;auc;0.5810725051562748
bpic2015_3_f2;75;all_embeddings;LSTM;12;-1;auc;0.5827383785498969
bpic2015_3_f2;75;all_embeddings;LSTM;13;-1;auc;0.5875773441218468
bpic2015_3_f2;75;all_embeddings;LSTM;14;-1;auc;0.6023923444976076
bpic2015_3_f2;75;all_embeddings;LSTM;15;-1;auc;0.6410934744268079
bpic2015_3_f2;75;all_embeddings;LSTM;16;-1;auc;0.6519159852493186
bpic2015_3_f2;75;all_embeddings;LSTM;17;-1;auc;0.6708353375020042
bpic2015_3_f2;75;all_embeddings;LSTM;18;-1;auc;0.6900753567420235
bpic2015_3_f2;75;all_embeddings;LSTM;19;-1;auc;0.7089145422478756
bpic2015_3_f2;75;all_embeddings;LSTM;20;-1;auc;0.6992143658810325
bpic2015_3_f2;75;all_embeddings;LSTM;21;-1;auc;0.7097840103159252
bpic2015_3_f2;75;all_embeddings;LSTM;22;-1;auc;0.7158284977433913
bpic2015_3_f2;75;all_embeddings;LSTM;23;-1;auc;0.7040187976016853
bpic2015_3_f2;75;all_embeddings;LSTM;24;-1;auc;0.7152334152334152
bpic2015_3_f2;75;all_embeddings;LSTM;25;-1;auc;0.7085284280936455
bpic2015_3_f2;75;all_embeddings;LSTM;26;-1;auc;0.7118729096989966
bpic2015_3_f2;75;all_embeddings;LSTM;27;-1;auc;0.7112232030264817
bpic2015_3_f2;75;all_embeddings;LSTM;28;-1;auc;0.703125
bpic2015_3_f2;75;all_embeddings;LSTM;29;-1;auc;0.6868765721224738
bpic2015_3_f2;75;all_embeddings;LSTM;30;-1;auc;0.6820163963021106
bpic2015_3_f2;75;all_embeddings;LSTM;31;-1;auc;0.6669297553275455
bpic2015_3_f2;75;all_embeddings;LSTM;32;-1;auc;0.6656966490299824
bpic2015_3_f2;75;all_embeddings;LSTM;33;-1;auc;0.6431481481481481
bpic2015_3_f2;75;all_embeddings;LSTM;34;-1;auc;0.6372222222222222
bpic2015_3_f2;75;all_embeddings;LSTM;35;-1;auc;0.6418518518518519
bpic2015_3_f2;75;all_embeddings;LSTM;36;-1;auc;0.6313888888888889
bpic2015_3_f2;75;all_embeddings;LSTM;37;-1;auc;0.6612085769980506
bpic2015_3_f2;75;all_embeddings;LSTM;38;-1;auc;0.6713995943204868
bpic2015_3_f2;75;all_embeddings;LSTM;39;-1;auc;0.709524810765349
bpic2015_3_f2;75;all_embeddings;LSTM;40;-1;auc;0.7398023549201009
bpic2015_3_f2;75;all_embeddings;LSTM;-1;auc;0.6246421315998135
