dataset;method;cls;nr_events;metric;score
bpic2011_f3;all_agg;XGB;1;-1;auc;0.9186206896551724
bpic2011_f3;all_agg;XGB;2;-1;auc;0.925507695109735
bpic2011_f3;all_agg;XGB;3;-1;auc;0.9131278072682727
bpic2011_f3;all_agg;XGB;4;-1;auc;0.9046909903201787
bpic2011_f3;all_agg;XGB;5;-1;auc;0.9025768535262206
bpic2011_f3;all_agg;XGB;6;-1;auc;0.895117540687161
bpic2011_f3;all_agg;XGB;7;-1;auc;0.8945959104186952
bpic2011_f3;all_agg;XGB;8;-1;auc;0.9375861636796591
bpic2011_f3;all_agg;XGB;9;-1;auc;0.9746835443037974
bpic2011_f3;all_agg;XGB;10;-1;auc;0.995864143376363
bpic2011_f3;all_agg;XGB;11;-1;auc;0.9980820866896817
bpic2011_f3;all_agg;XGB;12;-1;auc;0.9983378084643907
bpic2011_f3;all_agg;XGB;13;-1;auc;0.9980820866896816
bpic2011_f3;all_agg;XGB;14;-1;auc;0.9986950280568968
bpic2011_f3;all_agg;XGB;15;-1;auc;0.998825525251207
bpic2011_f3;all_agg;XGB;16;-1;auc;0.9986782976473698
bpic2011_f3;all_agg;XGB;17;-1;auc;0.9986782976473698
bpic2011_f3;all_agg;XGB;18;-1;auc;0.9985461274121068
bpic2011_f3;all_agg;XGB;19;-1;auc;0.9986293859649122
bpic2011_f3;all_agg;XGB;20;-1;auc;0.9985923423423423
bpic2011_f3;all_agg;XGB;21;-1;auc;0.998641304347826
bpic2011_f3;all_agg;XGB;22;-1;auc;0.9983253588516746
bpic2011_f3;all_agg;XGB;23;-1;auc;0.9967963386727688
bpic2011_f3;all_agg;XGB;24;-1;auc;0.9942716857610474
bpic2011_f3;all_agg;XGB;25;-1;auc;0.990691489361702
bpic2011_f3;all_agg;XGB;26;-1;auc;0.9893617021276595
bpic2011_f3;all_agg;XGB;27;-1;auc;0.9888888888888889
bpic2011_f3;all_agg;XGB;28;-1;auc;0.9906367041198502
bpic2011_f3;all_agg;XGB;29;-1;auc;0.9886363636363636
bpic2011_f3;all_agg;XGB;30;-1;auc;0.96875
bpic2011_f3;all_agg;XGB;31;-1;auc;0.9852941176470588
bpic2011_f3;all_agg;XGB;-1;auc;0.9821424521048742
