dataset;method;cls;nr_events;metric;score
bpic2015_2_f2;all_agg;XGB;1;-1;auc;0.8113846153846154
bpic2015_2_f2;all_agg;XGB;2;-1;auc;0.8016000000000001
bpic2015_2_f2;all_agg;XGB;3;-1;auc;0.8009600000000001
bpic2015_2_f2;all_agg;XGB;4;-1;auc;0.8156800000000001
bpic2015_2_f2;all_agg;XGB;5;-1;auc;0.82464
bpic2015_2_f2;all_agg;XGB;6;-1;auc;0.8236800000000001
bpic2015_2_f2;all_agg;XGB;7;-1;auc;0.83104
bpic2015_2_f2;all_agg;XGB;8;-1;auc;0.8303225806451613
bpic2015_2_f2;all_agg;XGB;9;-1;auc;0.8261290322580646
bpic2015_2_f2;all_agg;XGB;10;-1;auc;0.8232258064516129
bpic2015_2_f2;all_agg;XGB;11;-1;auc;0.8161290322580645
bpic2015_2_f2;all_agg;XGB;12;-1;auc;0.8534426229508196
bpic2015_2_f2;all_agg;XGB;13;-1;auc;0.8532231404958679
bpic2015_2_f2;all_agg;XGB;14;-1;auc;0.8634710743801653
bpic2015_2_f2;all_agg;XGB;15;-1;auc;0.8819834710743801
bpic2015_2_f2;all_agg;XGB;16;-1;auc;0.9186776859504132
bpic2015_2_f2;all_agg;XGB;17;-1;auc;0.9586776859504131
bpic2015_2_f2;all_agg;XGB;18;-1;auc;0.9659504132231405
bpic2015_2_f2;all_agg;XGB;19;-1;auc;0.9830000000000001
bpic2015_2_f2;all_agg;XGB;20;-1;auc;0.9756944444444445
bpic2015_2_f2;all_agg;XGB;21;-1;auc;0.9851449275362318
bpic2015_2_f2;all_agg;XGB;22;-1;auc;0.9857508220679576
bpic2015_2_f2;all_agg;XGB;23;-1;auc;0.989769820971867
bpic2015_2_f2;all_agg;XGB;24;-1;auc;0.9824625502374863
bpic2015_2_f2;all_agg;XGB;25;-1;auc;0.9835586408476434
bpic2015_2_f2;all_agg;XGB;26;-1;auc;0.9831932773109244
bpic2015_2_f2;all_agg;XGB;27;-1;auc;0.9817318231640483
bpic2015_2_f2;all_agg;XGB;28;-1;auc;0.9799050054804531
bpic2015_2_f2;all_agg;XGB;29;-1;auc;0.9810010960906101
bpic2015_2_f2;all_agg;XGB;30;-1;auc;0.9802703690171721
bpic2015_2_f2;all_agg;XGB;31;-1;auc;0.9813664596273292
bpic2015_2_f2;all_agg;XGB;32;-1;auc;0.9808400884303612
bpic2015_2_f2;all_agg;XGB;33;-1;auc;0.9819454679439941
bpic2015_2_f2;all_agg;XGB;34;-1;auc;0.9992630803242447
bpic2015_2_f2;all_agg;XGB;35;-1;auc;0.9992630803242447
bpic2015_2_f2;all_agg;XGB;36;-1;auc;0.9996315401621223
bpic2015_2_f2;all_agg;XGB;37;-1;auc;0.9996315401621223
bpic2015_2_f2;all_agg;XGB;38;-1;auc;0.9996315401621223
bpic2015_2_f2;all_agg;XGB;39;-1;auc;0.9996147919876733
bpic2015_2_f2;all_agg;XGB;40;-1;auc;0.9996147919876733
bpic2015_2_f2;all_agg;XGB;-1;auc;0.9529500023551792
