dataset;level;method;cls;nr_events;metric;score
bpic2011_f3;25;all_embeddings;LSTM;1;-1;auc;0.7137931034482758
bpic2011_f3;25;all_embeddings;LSTM;2;-1;auc;0.7195155268190512
bpic2011_f3;25;all_embeddings;LSTM;3;-1;auc;0.6814516129032258
bpic2011_f3;25;all_embeddings;LSTM;4;-1;auc;0.6638655462184874
bpic2011_f3;25;all_embeddings;LSTM;5;-1;auc;0.6772151898734178
bpic2011_f3;25;all_embeddings;LSTM;6;-1;auc;0.6555756479807113
bpic2011_f3;25;all_embeddings;LSTM;7;-1;auc;0.6613924050632911
bpic2011_f3;25;all_embeddings;LSTM;8;-1;auc;0.6478255420478757
bpic2011_f3;25;all_embeddings;LSTM;9;-1;auc;0.630279483644567
bpic2011_f3;25;all_embeddings;LSTM;10;-1;auc;0.6389271838576263
bpic2011_f3;25;all_embeddings;LSTM;11;-1;auc;0.6933895921237693
bpic2011_f3;25;all_embeddings;LSTM;12;-1;auc;0.7451732515023655
bpic2011_f3;25;all_embeddings;LSTM;13;-1;auc;0.7310446234496868
bpic2011_f3;25;all_embeddings;LSTM;14;-1;auc;0.7320892600809082
bpic2011_f3;25;all_embeddings;LSTM;15;-1;auc;0.7229544564791857
bpic2011_f3;25;all_embeddings;LSTM;16;-1;auc;0.805775839280994
bpic2011_f3;25;all_embeddings;LSTM;17;-1;auc;0.8022072429288924
bpic2011_f3;25;all_embeddings;LSTM;18;-1;auc;0.8012820512820513
bpic2011_f3;25;all_embeddings;LSTM;19;-1;auc;0.7875548245614035
bpic2011_f3;25;all_embeddings;LSTM;20;-1;auc;0.7787162162162162
bpic2011_f3;25;all_embeddings;LSTM;21;-1;auc;0.7795893719806763
bpic2011_f3;25;all_embeddings;LSTM;22;-1;auc;0.7895933014354067
bpic2011_f3;25;all_embeddings;LSTM;23;-1;auc;0.7258581235697941
bpic2011_f3;25;all_embeddings;LSTM;24;-1;auc;0.7671849427168577
bpic2011_f3;25;all_embeddings;LSTM;25;-1;auc;0.7832446808510638
bpic2011_f3;25;all_embeddings;LSTM;26;-1;auc;0.7492401215805471
bpic2011_f3;25;all_embeddings;LSTM;27;-1;auc;0.7583333333333333
bpic2011_f3;25;all_embeddings;LSTM;28;-1;auc;0.7715355805243447
bpic2011_f3;25;all_embeddings;LSTM;29;-1;auc;0.7250000000000001
bpic2011_f3;25;all_embeddings;LSTM;30;-1;auc;0.6846590909090908
bpic2011_f3;25;all_embeddings;LSTM;31;-1;auc;0.6970588235294117
bpic2011_f3;25;all_embeddings;LSTM;-1;auc;0.7507936476253536
