dataset;level;method;cls;nr_events;metric;score
bpic2015_3_f2;75;all_embeddings;LSTM;1;-1;auc;0.611715292882322
bpic2015_3_f2;75;all_embeddings;LSTM;2;-1;auc;0.6222530563264083
bpic2015_3_f2;75;all_embeddings;LSTM;3;-1;auc;0.6085652141303532
bpic2015_3_f2;75;all_embeddings;LSTM;4;-1;auc;0.6116777919447987
bpic2015_3_f2;75;all_embeddings;LSTM;5;-1;auc;0.605984467793513
bpic2015_3_f2;75;all_embeddings;LSTM;6;-1;auc;0.6070554025099479
bpic2015_3_f2;75;all_embeddings;LSTM;7;-1;auc;0.608521765882172
bpic2015_3_f2;75;all_embeddings;LSTM;8;-1;auc;0.5918026418026419
bpic2015_3_f2;75;all_embeddings;LSTM;9;-1;auc;0.5707070707070707
bpic2015_3_f2;75;all_embeddings;LSTM;10;-1;auc;0.5626366760387379
bpic2015_3_f2;75;all_embeddings;LSTM;11;-1;auc;0.5993574488338886
bpic2015_3_f2;75;all_embeddings;LSTM;12;-1;auc;0.6327145803585594
bpic2015_3_f2;75;all_embeddings;LSTM;13;-1;auc;0.6054259876249405
bpic2015_3_f2;75;all_embeddings;LSTM;14;-1;auc;0.7389952153110046
bpic2015_3_f2;75;all_embeddings;LSTM;15;-1;auc;0.7035433702100369
bpic2015_3_f2;75;all_embeddings;LSTM;16;-1;auc;0.6396504729838063
bpic2015_3_f2;75;all_embeddings;LSTM;17;-1;auc;0.6204906204906204
bpic2015_3_f2;75;all_embeddings;LSTM;18;-1;auc;0.5723905723905724
bpic2015_3_f2;75;all_embeddings;LSTM;19;-1;auc;0.5776815776815778
bpic2015_3_f2;75;all_embeddings;LSTM;20;-1;auc;0.5824915824915824
bpic2015_3_f2;75;all_embeddings;LSTM;21;-1;auc;0.5510960670535139
bpic2015_3_f2;75;all_embeddings;LSTM;22;-1;auc;0.5383623468729852
bpic2015_3_f2;75;all_embeddings;LSTM;23;-1;auc;0.5726786582401555
bpic2015_3_f2;75;all_embeddings;LSTM;24;-1;auc;0.5268632268632267
bpic2015_3_f2;75;all_embeddings;LSTM;25;-1;auc;0.5506688963210703
bpic2015_3_f2;75;all_embeddings;LSTM;26;-1;auc;0.5279264214046823
bpic2015_3_f2;75;all_embeddings;LSTM;27;-1;auc;0.5780580075662043
bpic2015_3_f2;75;all_embeddings;LSTM;28;-1;auc;0.5638661202185792
bpic2015_3_f2;75;all_embeddings;LSTM;29;-1;auc;0.5723826871367854
bpic2015_3_f2;75;all_embeddings;LSTM;30;-1;auc;0.5782312925170068
bpic2015_3_f2;75;all_embeddings;LSTM;31;-1;auc;0.5946680698061912
bpic2015_3_f2;75;all_embeddings;LSTM;32;-1;auc;0.6015873015873016
bpic2015_3_f2;75;all_embeddings;LSTM;33;-1;auc;0.5840740740740741
bpic2015_3_f2;75;all_embeddings;LSTM;34;-1;auc;0.5984259259259259
bpic2015_3_f2;75;all_embeddings;LSTM;35;-1;auc;0.5931481481481481
bpic2015_3_f2;75;all_embeddings;LSTM;36;-1;auc;0.6131481481481481
bpic2015_3_f2;75;all_embeddings;LSTM;37;-1;auc;0.6372319688109161
bpic2015_3_f2;75;all_embeddings;LSTM;38;-1;auc;0.701419878296146
bpic2015_3_f2;75;all_embeddings;LSTM;39;-1;auc;0.7027964676198486
bpic2015_3_f2;75;all_embeddings;LSTM;40;-1;auc;0.5535639192598821
bpic2015_3_f2;75;all_embeddings;LSTM;-1;auc;0.5838842957572468
