dataset;method;cls;nr_events;metric;score
bpic2011_f1;all_agg;XGB;1;-1;auc;0.7468583763780743
bpic2011_f1;all_agg;XGB;2;-1;auc;0.7695232060826865
bpic2011_f1;all_agg;XGB;3;-1;auc;0.7630969733344765
bpic2011_f1;all_agg;XGB;4;-1;auc;0.7562005751258087
bpic2011_f1;all_agg;XGB;5;-1;auc;0.7702174327674994
bpic2011_f1;all_agg;XGB;6;-1;auc;0.7668122714343762
bpic2011_f1;all_agg;XGB;7;-1;auc;0.8016304347826086
bpic2011_f1;all_agg;XGB;8;-1;auc;0.8628406708595387
bpic2011_f1;all_agg;XGB;9;-1;auc;0.9128571428571429
bpic2011_f1;all_agg;XGB;10;-1;auc;0.9139682539682541
bpic2011_f1;all_agg;XGB;11;-1;auc;0.922943722943723
bpic2011_f1;all_agg;XGB;12;-1;auc;0.9166666666666666
bpic2011_f1;all_agg;XGB;13;-1;auc;0.9172413793103448
bpic2011_f1;all_agg;XGB;14;-1;auc;0.9321151716500553
bpic2011_f1;all_agg;XGB;15;-1;auc;0.9325581395348838
bpic2011_f1;all_agg;XGB;16;-1;auc;0.9414174972314506
bpic2011_f1;all_agg;XGB;17;-1;auc;0.9391771019677996
bpic2011_f1;all_agg;XGB;18;-1;auc;0.9417486583184258
bpic2011_f1;all_agg;XGB;19;-1;auc;0.9432126696832579
bpic2011_f1;all_agg;XGB;20;-1;auc;0.945213379469435
bpic2011_f1;all_agg;XGB;21;-1;auc;0.9450588235294117
bpic2011_f1;all_agg;XGB;22;-1;auc;0.9451127819548871
bpic2011_f1;all_agg;XGB;23;-1;auc;0.9466873706004141
bpic2011_f1;all_agg;XGB;24;-1;auc;0.9557249866238631
bpic2011_f1;all_agg;XGB;25;-1;auc;0.9508718980549967
bpic2011_f1;all_agg;XGB;26;-1;auc;0.9469047619047619
bpic2011_f1;all_agg;XGB;27;-1;auc;0.9268799335272123
bpic2011_f1;all_agg;XGB;28;-1;auc;0.9151422764227642
bpic2011_f1;all_agg;XGB;29;-1;auc;0.9205246913580247
bpic2011_f1;all_agg;XGB;30;-1;auc;0.9023569023569024
bpic2011_f1;all_agg;XGB;31;-1;auc;0.8987499999999999
bpic2011_f1;all_agg;XGB;32;-1;auc;0.8874458874458874
bpic2011_f1;all_agg;XGB;33;-1;auc;0.8888888888888888
bpic2011_f1;all_agg;XGB;34;-1;auc;0.8703007518796992
bpic2011_f1;all_agg;XGB;35;-1;auc;0.8052631578947369
bpic2011_f1;all_agg;XGB;36;-1;auc;0.8432432432432433
bpic2011_f1;all_agg;XGB;-1;auc;0.8978155053888011
