dataset;method;cls;nr_events;metric;score
bpic2015_1_f2;all_agg;XGB;1;-1;auc;0.6821581196581197
bpic2015_1_f2;all_agg;XGB;2;-1;auc;0.6662660256410257
bpic2015_1_f2;all_agg;XGB;3;-1;auc;0.6438301282051282
bpic2015_1_f2;all_agg;XGB;4;-1;auc;0.6317873303167422
bpic2015_1_f2;all_agg;XGB;5;-1;auc;0.670673076923077
bpic2015_1_f2;all_agg;XGB;6;-1;auc;0.6300904977375565
bpic2015_1_f2;all_agg;XGB;7;-1;auc;0.5608031674208145
bpic2015_1_f2;all_agg;XGB;8;-1;auc;0.5480769230769231
bpic2015_1_f2;all_agg;XGB;9;-1;auc;0.5633484162895928
bpic2015_1_f2;all_agg;XGB;10;-1;auc;0.59565962307253
bpic2015_1_f2;all_agg;XGB;11;-1;auc;0.5893886966551326
bpic2015_1_f2;all_agg;XGB;12;-1;auc;0.6311764705882353
bpic2015_1_f2;all_agg;XGB;13;-1;auc;0.6785502079619726
bpic2015_1_f2;all_agg;XGB;14;-1;auc;0.690081351689612
bpic2015_1_f2;all_agg;XGB;15;-1;auc;0.7562340153452687
bpic2015_1_f2;all_agg;XGB;16;-1;auc;0.8309631544925662
bpic2015_1_f2;all_agg;XGB;17;-1;auc;0.8463154492566256
bpic2015_1_f2;all_agg;XGB;18;-1;auc;0.8823529411764707
bpic2015_1_f2;all_agg;XGB;19;-1;auc;0.9087566844919786
bpic2015_1_f2;all_agg;XGB;20;-1;auc;0.9024730059212818
bpic2015_1_f2;all_agg;XGB;21;-1;auc;0.9113549285963078
bpic2015_1_f2;all_agg;XGB;22;-1;auc;0.9120515499825846
bpic2015_1_f2;all_agg;XGB;23;-1;auc;0.9247648902821317
bpic2015_1_f2;all_agg;XGB;24;-1;auc;0.9414838035527691
bpic2015_1_f2;all_agg;XGB;25;-1;auc;0.96760710553814
bpic2015_1_f2;all_agg;XGB;26;-1;auc;0.9774709302325582
bpic2015_1_f2;all_agg;XGB;27;-1;auc;0.9847470238095238
bpic2015_1_f2;all_agg;XGB;28;-1;auc;0.987198795180723
bpic2015_1_f2;all_agg;XGB;29;-1;auc;0.9503012048192772
bpic2015_1_f2;all_agg;XGB;30;-1;auc;0.9617846385542168
bpic2015_1_f2;all_agg;XGB;31;-1;auc;0.959984756097561
bpic2015_1_f2;all_agg;XGB;32;-1;auc;0.96484375
bpic2015_1_f2;all_agg;XGB;33;-1;auc;0.9587348135735232
bpic2015_1_f2;all_agg;XGB;34;-1;auc;0.987012987012987
bpic2015_1_f2;all_agg;XGB;35;-1;auc;1.0
bpic2015_1_f2;all_agg;XGB;36;-1;auc;1.0
bpic2015_1_f2;all_agg;XGB;37;-1;auc;0.993421052631579
bpic2015_1_f2;all_agg;XGB;38;-1;auc;0.9933333333333334
bpic2015_1_f2;all_agg;XGB;39;-1;auc;0.9933333333333333
bpic2015_1_f2;all_agg;XGB;40;-1;auc;0.9933333333333333
bpic2015_1_f2;all_agg;XGB;-1;auc;0.8655707304468105
